0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32
1,4,4,6,5,6,5,7,7,6,5,3,4,7,6,3,1,1,1,4,2,4,4,6,6,6,6,7,6,7,4,7,6
2,7,7,6,7,6,5,4,1,7,7,5,6,7,7,5,5,4,7,7,7,7,7,6,7,7,6,2,7,1,7,7,7
3,5,5,6,5,5,3,4,2,3,3,3,5,6,6,3,3,5,6,4,6,5,3,5,5,5,7,1,5,6,6,6,6
4,2,2,5,5,5,5,4,5,3,2,7,2,5,5,3,3,2,5,5,7,7,5,4,5,5,5,7,5,5,7,7,7
5,6,5,6,5,5,5,5,5,4,5,4,4,5,4,4,4,4,5,5,5,6,5,5,5,4,5,3,5,3,5,5,5
6,6,5,5,5,5,5,4,4,4,3,5,4,6,4,4,6,6,6,6,6,6,5,5,5,5,5,5,6,2,6,7,5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,3,7,7,7,7,7,5,7,7,3,7,7,7,7,7
8,6,5,6,6,6,6,6,7,6,6,7,7,5,5,3,6,5,5,6,7,6,7,6,4,6,6,7,7,7,7,7,7
9,6,5,6,5,5,3,5,5,2,2,6,5,5,2,1,5,3,5,5,7,3,5,5,7,3,6,1,5,5,7,7,7
10,7,7,7,6,7,5,7,5,7,5,6,6,5,5,7,5,5,5,3,7,6,5,6,3,7,7,5,7,5,7,7,7
11,6,6,6,4,6,3,5,4,5,5,3,6,7,2,3,3,3,7,5,7,3,5,5,5,6,6,2,6,5,7,7,6
12,7,7,7,6,6,6,5,7,5,5,6,4,7,6,3,6,5,7,5,4,6,5,5,5,7,6,5,7,6,3,7,7
13,5,5,5,5,5,5,6,6,5,5,5,6,6,5,5,5,4,6,5,6,5,5,5,5,5,5,6,5,5,5,6,5
14,7,7,7,7,7,7,4,3,7,7,7,7,7,6,7,7,7,4,4,7,7,7,7,7,7,7,7,7,6,7,7,7
15,7,6,7,6,6,7,7,7,7,6,7,6,5,5,4,4,5,4,5,7,7,7,7,6,7,7,5,7,6,6,7,7
16,6,6,6,5,6,4,5,4,5,5,7,4,7,4,7,5,5,6,5,7,5,5,7,7,7,7,5,6,6,6,6,6
17,7,5,7,5,5,7,5,4,5,6,6,6,6,4,4,4,5,4,4,7,5,5,6,5,7,6,3,7,3,5,7,5
18,5,4,5,5,5,4,5,3,4,3,5,5,5,2,5,3,4,6,5,6,5,4,3,3,5,5,1,5,5,5,6,5
19,7,5,7,5,5,3,2,1,4,3,4,6,1,1,1,1,1,3,3,7,4,2,5,3,5,3,1,5,5,5,4,5
20,6,6,6,5,5,4,6,2,4,6,4,2,7,3,3,4,6,7,5,7,6,5,3,1,5,6,3,6,5,7,7,6
21,6,6,7,6,7,1,4,4,5,5,6,5,7,2,5,2,7,6,7,7,3,2,5,3,5,6,1,7,5,7,7,7
22,6,5,6,6,7,5,6,6,6,5,6,7,7,6,5,5,5,5,5,6,6,6,6,6,6,6,7,7,6,6,6,6
23,5,5,6,5,5,5,5,5,5,3,5,4,4,4,3,4,4,3,6,6,5,5,7,5,4,5,7,5,5,5,6,5
24,3,5,5,5,5,4,5,5,4,4,5,7,6,5,4,4,4,6,5,7,5,3,3,2,5,5,5,6,5,6,6,6
25,7,7,7,5,6,3,5,3,5,5,5,4,5,4,5,3,4,5,7,7,5,4,7,3,6,5,3,7,5,5,7,4
26,6,7,7,3,5,1,1,1,3,3,2,4,5,3,4,3,1,2,3,7,5,2,4,3,5,7,1,5,1,1,2,4
27,4,4,4,4,3,3,4,4,3,3,5,1,7,4,7,5,5,5,2,7,5,4,2,2,4,4,4,4,5,5,6,7
28,5,3,5,7,5,3,4,4,1,3,5,2,5,3,1,3,2,7,7,7,7,6,5,2,2,5,1,6,5,7,7,6
29,5,5,5,5,5,5,5,4,5,5,5,4,5,4,3,4,4,5,6,6,5,4,5,5,5,5,1,6,5,5,5,6
30,6,6,6,7,6,6,6,5,5,6,7,5,6,5,6,5,5,6,6,7,6,5,6,6,6,7,6,7,5,7,7,7
31,5,5,5,6,5,5,4,3,3,5,5,5,4,2,5,5,3,5,6,5,4,2,5,5,5,5,6,6,6,6,5,5
32,5,5,5,5,5,4,5,4,7,5,7,4,7,4,6,7,5,5,6,7,6,7,3,4,5,6,4,5,5,7,7,7
33,5,5,6,5,5,4,5,2,5,4,5,5,5,5,4,4,5,7,4,5,4,5,5,4,5,5,1,5,4,5,6,5
34,7,5,7,3,5,7,4,2,1,1,7,5,5,1,2,6,6,7,4,5,7,6,2,7,7,6,1,7,7,7,7,7
35,5,5,6,6,5,6,6,6,3,5,6,6,6,5,5,5,5,4,5,6,6,6,5,5,6,5,7,6,6,5,5,6
36,6,6,7,7,7,6,6,5,6,6,6,5,7,4,5,4,3,4,6,6,6,7,7,6,5,5,7,7,6,7,7,7
37,4,4,5,4,5,4,4,4,4,4,5,4,5,4,4,5,4,5,5,5,5,5,5,4,5,4,5,5,4,6,6,5
38,5,5,5,6,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,6,5
39,6,5,5,5,5,3,3,6,3,4,4,3,4,3,3,4,3,3,6,7,5,4,4,5,6,6,1,7,5,7,7,7
40,3,5,7,5,5,3,5,4,5,2,5,4,6,5,4,3,5,3,5,6,3,5,5,5,3,5,7,7,5,7,7,7
41,5,5,6,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,6,5,5,5,5,1,5,5,6,6,6
42,3,5,6,5,6,4,4,1,2,3,7,5,5,3,2,4,2,4,3,7,5,4,4,3,5,6,1,5,5,5,4,3
43,4,4,5,5,6,3,5,2,1,3,4,2,6,4,3,4,4,4,4,7,3,4,5,5,5,5,7,7,1,7,7,7
44,1,3,4,5,4,2,4,4,3,1,3,4,3,5,2,4,2,2,5,4,3,3,3,4,3,6,7,6,5,5,3,5
